# 第1次画图
106 503
188 72
550 125
616 437
64 413
225 116
448 31
# 第2次画图
461 185
250 298
260 226
306 234
283 289
225 226
# 第3次画图
303 394
170 320
260 172
356 200
305 337
192 352
164 95
# 第4次画图
697 165
91 233
210 67
277 150
233 206
46 189
# 第5次画图
489 704
163 658
69 263
619 264
545 593
425 604
488 446
458 452
211 437
252 463
217 673
76 444
# 第6次画图
513 655
74 704
83 553
211 576
218 634
226 674
70 680
66 441
# 第7次画图
207 507
168 694
340 633
498 690
535 536
490 478
473 418
330 401
216 414
164 509
238 694
124 641
# 第8次画图
584 306
231 744
55 365
353 232
205 487
322 625
77 661
# 第9次画图
345 641
269 621
218 377
459 377
487 479
462 598
242 602
209 498
# 第10次画图
105 589
173 421
506 442
544 502
527 337
191 361
203 438
308 609
# 第11次画图
226 545
203 399
537 434
411 476
373 476
243 459
259 415
347 440
# 第12次画图
311 429
437 307
308 307
359 369
406 331
391 258
# 第14次画图
364 333
363 378
333 390
301 345
